timestamp,action,reward,cumulative_reward,position,trade_count,realized_equity,unrealized_pnl,total_equity,exit_reason,valid_long_zone,valid_short_zone,allowed_long_entry,allowed_short_entry,entry_rule_trigger,blocked_reason,attempted_entry_action
2025-10-20 02:46:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 02:47:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 02:48:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 02:49:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 02:50:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 02:51:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 02:52:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 02:53:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 02:54:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 02:55:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 02:56:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 02:57:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 02:58:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 02:59:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:00:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:01:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:02:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:03:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:04:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:05:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:06:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:07:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:08:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:09:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:10:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:11:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:12:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:13:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:14:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:15:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:16:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:17:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:18:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:19:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:20:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:21:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:22:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:23:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:24:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:25:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:26:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:27:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:28:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:29:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:30:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:31:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:32:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:33:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:34:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:35:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:36:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:37:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:38:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:39:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:40:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:41:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:42:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:43:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:44:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:45:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:46:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:47:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:48:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:49:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:50:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:51:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:52:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:53:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:54:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:55:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:56:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:57:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:58:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 03:59:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:00:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:01:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:02:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:03:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:04:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:05:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:06:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:07:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:08:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:09:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:10:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:11:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:12:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:13:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:14:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:15:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:16:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:17:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:18:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:19:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:20:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:21:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:22:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:23:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:24:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:25:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:26:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:27:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:28:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:29:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:30:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:31:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:32:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:33:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:34:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:35:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:36:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:37:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:38:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:39:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:40:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:41:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:42:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:43:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:44:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:45:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:46:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:47:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:48:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:49:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:50:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:51:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:52:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:53:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:54:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:55:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:56:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:57:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:58:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 04:59:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:00:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:01:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,0,0,0,0,,,
2025-10-20 05:02:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:03:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:04:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:05:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:06:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:07:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:08:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:09:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:10:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:11:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:12:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:13:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:14:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:15:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:16:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:17:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:18:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:19:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:20:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:21:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:22:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:23:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:24:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:25:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:26:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:27:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:28:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:29:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:30:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:31:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:32:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:33:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:34:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:35:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:36:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:37:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:38:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:39:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:40:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:41:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:42:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:43:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:44:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:45:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:46:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:47:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:48:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:49:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:50:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:51:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:52:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:53:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:54:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:55:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:56:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:57:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:58:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 05:59:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:00:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:01:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:02:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:03:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:04:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:05:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:06:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:07:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:08:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:09:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:10:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:11:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:12:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:13:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:14:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:15:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:16:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:17:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:18:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:19:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:20:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:21:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:22:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:23:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:24:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:25:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:26:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:27:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:28:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:29:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:30:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:31:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:32:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:33:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:34:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:35:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:36:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:37:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:38:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:39:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
2025-10-20 06:40:00-04:00,0,0.0,-18580.5,0,10,3125.0,0.0,3125.0,,1,0,0,0,,,
